# Force coefficients
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 2.000000e+01
# lRef        : 1.420000e+00
# Aref        : 7.500000e-01
# CofR        : (7.200000e-01 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
234           	1.568032e-01	4.180059e-01	6.340408e-02	1.885053e-01	-1.251012e-01
235           	1.566937e-01	4.179315e-01	6.340574e-02	1.883966e-01	-1.249908e-01
236           	1.566121e-01	4.179153e-01	6.346015e-02	1.883422e-01	-1.248821e-01
237           	1.564936e-01	4.178200e-01	6.338049e-02	1.881839e-01	-1.248034e-01
238           	1.564418e-01	4.178205e-01	6.338850e-02	1.881360e-01	-1.247475e-01
239           	1.563502e-01	4.177508e-01	6.330052e-02	1.880005e-01	-1.246999e-01
240           	1.563275e-01	4.177689e-01	6.334126e-02	1.879981e-01	-1.246569e-01
241           	1.562722e-01	4.177326e-01	6.328050e-02	1.879125e-01	-1.246320e-01
242           	1.562463e-01	4.177591e-01	6.329775e-02	1.878951e-01	-1.245974e-01
243           	1.561699e-01	4.176985e-01	6.320141e-02	1.877706e-01	-1.245692e-01
244           	1.561480e-01	4.176904e-01	6.325445e-02	1.877753e-01	-1.245208e-01
245           	1.561012e-01	4.176189e-01	6.322625e-02	1.877143e-01	-1.244881e-01
246           	1.560936e-01	4.176215e-01	6.328974e-02	1.877385e-01	-1.244488e-01
247           	1.560352e-01	4.175496e-01	6.321635e-02	1.876434e-01	-1.244270e-01
248           	1.560232e-01	4.175294e-01	6.329583e-02	1.876711e-01	-1.243753e-01
249           	1.559745e-01	4.174165e-01	6.329726e-02	1.876231e-01	-1.243259e-01
250           	1.559594e-01	4.173504e-01	6.341698e-02	1.876679e-01	-1.242509e-01
251           	1.558976e-01	4.172132e-01	6.342366e-02	1.876094e-01	-1.241857e-01
252           	1.558855e-01	4.171821e-01	6.348244e-02	1.876267e-01	-1.241443e-01
253           	1.558213e-01	4.170826e-01	6.339735e-02	1.875200e-01	-1.241226e-01
254           	1.558270e-01	4.170815e-01	6.345056e-02	1.875523e-01	-1.241018e-01
255           	1.558181e-01	4.170514e-01	6.340041e-02	1.875184e-01	-1.241179e-01
256           	1.558483e-01	4.171057e-01	6.344398e-02	1.875703e-01	-1.241263e-01
